date_rptd,count,y_hat,crimen,zona
2020-07-25,17.0,18.0,104,1
2020-07-26,32.0,32.0,104,1
2020-07-27,45.0,45.0,104,1
2020-07-28,45.0,46.0,104,1
2020-07-29,38.0,38.0,104,1
2020-07-30,29.0,30.0,104,1
2020-07-31,15.0,17.0,104,1
2020-08-01,26.0,27.0,104,1
2020-08-02,36.0,36.0,104,1
2020-08-03,41.0,42.0,104,1
2020-08-04,37.0,38.0,104,1
2020-08-05,34.0,34.0,104,1
2020-08-06,35.0,36.0,104,1
2020-08-07,34.0,35.0,104,1
2020-08-08,31.0,32.0,104,1
2020-08-09,41.0,41.0,104,1
2020-08-10,44.0,43.0,104,1
2020-08-11,34.0,34.0,104,1
2020-08-12,39.0,38.0,104,1
2020-08-13,27.0,28.0,104,1
2020-08-14,29.0,30.0,104,1
2020-08-15,23.0,24.0,104,1
2020-08-16,24.0,24.0,104,1
2020-08-17,38.0,38.0,104,1
2020-08-18,31.0,31.0,104,1
2020-08-19,32.0,32.0,104,1
2020-08-20,24.0,25.0,104,1
2020-08-21,33.0,34.0,104,1
2020-08-22,23.0,25.0,104,1
2020-08-23,28.0,29.0,104,1
2020-08-24,40.0,40.0,104,1
2020-08-25,40.0,39.0,104,1
2020-08-26,45.0,45.0,104,1
2020-08-27,34.0,34.0,104,1
2020-08-28,31.0,31.0,104,1
2020-08-29,39.0,39.0,104,1
2020-08-30,29.0,29.0,104,1
2020-08-31,42.0,41.0,104,1
2020-09-01,41.0,40.0,104,1
2020-09-02,29.0,29.0,104,1
2020-09-03,35.0,35.0,104,1
2020-09-04,27.0,28.0,104,1
2020-09-05,27.0,28.0,104,1
2020-09-06,26.0,27.0,104,1
2020-09-07,19.0,20.0,104,1
2020-09-08,27.0,26.0,104,1
2020-09-09,28.0,28.0,104,1
2020-09-10,19.0,20.0,104,1
2020-09-11,29.0,30.0,104,1
2020-09-12,34.0,35.0,104,1
2020-09-13,14.0,15.0,104,1
2020-09-14,35.0,35.0,104,1
2020-09-15,36.0,35.0,104,1
2020-09-16,35.0,34.0,104,1
2020-09-17,33.0,33.0,104,1
2020-09-18,28.0,27.0,104,1
2020-09-19,32.0,32.0,104,1
2020-09-20,20.0,20.0,104,1
2020-09-21,31.0,30.0,104,1
2020-09-22,24.0,24.0,104,1
2020-09-23,22.0,22.0,104,1
2020-09-24,23.0,23.0,104,1
2020-09-25,33.0,33.0,104,1
2020-09-26,23.0,25.0,104,1
2020-09-27,31.0,31.0,104,1
2020-09-28,47.0,47.0,104,1
2020-09-29,37.0,37.0,104,1
2020-09-30,37.0,37.0,104,1
2020-10-01,46.0,46.0,104,1
2020-10-02,34.0,34.0,104,1
2020-10-03,29.0,29.0,104,1
2020-10-04,20.0,19.0,104,1
2020-10-05,43.0,42.0,104,1
2020-10-06,28.0,28.0,104,1
2020-10-07,28.0,28.0,104,1
2020-10-08,33.0,32.0,104,1
2020-10-09,31.0,31.0,104,1
2020-10-10,33.0,33.0,104,1
2020-10-11,29.0,29.0,104,1
2020-10-12,32.0,33.0,104,1
2020-10-13,39.0,39.0,104,1
2020-10-14,30.0,30.0,104,1
2020-10-15,33.0,33.0,104,1
2020-10-16,34.0,33.0,104,1
2020-10-17,32.0,32.0,104,1
2020-10-18,25.0,25.0,104,1
2020-10-19,42.0,41.0,104,1
2020-10-20,26.0,25.0,104,1
2020-10-21,46.0,45.0,104,1
2020-10-22,29.0,29.0,104,1
2020-10-23,30.0,30.0,104,1
2020-10-24,23.0,24.0,104,1
2020-10-25,26.0,26.0,104,1
2020-10-26,36.0,36.0,104,1
2020-10-27,48.0,48.0,104,1
2020-10-28,39.0,39.0,104,1
2020-10-29,42.0,42.0,104,1
2020-10-30,35.0,35.0,104,1
2020-10-31,20.0,21.0,104,1
2020-11-01,27.0,26.0,104,1
2020-11-02,47.0,47.0,104,1
2020-11-03,25.0,26.0,104,1
2020-11-04,50.0,50.0,104,1
2020-11-05,39.0,39.0,104,1
2020-11-06,27.0,28.0,104,1
2020-11-07,20.0,22.0,104,1
2020-11-08,27.0,27.0,104,1
2020-11-09,44.0,43.0,104,1
2020-11-10,20.0,22.0,104,1
2020-11-11,39.0,38.0,104,1
