,zona,crimen,mae,pema
0,1,104,0.5614349775784754,0.01803661412813753
1,1,100,0.8242152466367713,0.04183405835469386
2,1,101,0.12556053811659193,0.010498297457111148
3,1,103,0.7919282511210762,0.03975189475871203
4,1,102,0.940379403794038,0.12828465674177364
